N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,한온시스템,"11,500",400,+3.60%,100,"61,387","533,800",17.56,"1,156,421",20.99,5.09,
60,LG유플러스,"13,400",50,+0.37%,"5,000","58,506","436,611",35.73,"885,195",14.91,6.46,
61,한국조선해양,"81,400","1,600",-1.93%,"5,000","57,609","70,773",19.77,"154,734",-4.47,-7.42,
62,미래에셋증권,"8,980",10,+0.11%,"5,000","57,051","635,316",13.28,"1,137,653",6.14,8.94,
63,메리츠금융지주,"42,000",150,-0.36%,500,"56,285","134,011",8.95,"300,094",7.91,16.06,
64,KODEX 200,"36,740",500,-1.34%,0,"56,212","153,000",11.97,"3,553,663",N/A,N/A,
65,CJ제일제당,"371,500","4,500",-1.20%,"5,000","55,926","15,054",22.16,"37,871",12.67,13.50,
66,맥쿼리인프라,"13,800",50,-0.36%,0,"55,869","404,846",13.54,"1,432,669",N/A,N/A,
67,강원랜드,"25,750",950,-3.56%,500,"55,090","213,940",19.49,"1,423,103",-167.21,-7.92,
68,현대제철,"39,950",750,-1.84%,"5,000","53,312","133,446",20.68,"505,895",6.12,-2.59,
69,메리츠화재,"43,800",500,-1.13%,500,"52,834","120,625",12.66,"382,873",9.09,16.91,
70,코웨이,"71,500",400,-0.56%,500,"52,767","73,800",60.84,"76,996",11.84,31.51,
71,SKC,"134,000","2,500",-1.83%,"5,000","50,744","37,868",16.38,"176,119",27.30,2.21,
72,삼성중공업,"5,320",150,-2.74%,"1,000","46,816","880,000",13.79,"2,035,811",-2.17,-33.06,
73,금호석유,"154,000","8,500",-5.23%,"5,000","46,656","30,296",19.93,"227,694",2.75,20.18,
74,현대건설,"40,900","1,400",-3.31%,"5,000","45,544","111,356",23.02,"522,610",27.19,1.84,
75,삼성엔지니어링,"23,000",550,-2.34%,"5,000","45,080","196,000",36.38,"1,112,304",12.73,17.32,
76,DB손해보험,"63,600","1,300",-2.00%,500,"45,029","70,800",43.05,"105,845",5.65,9.08,
77,한국금융지주,"78,600","1,200",-1.50%,"5,000","43,801","55,726",34.60,"137,735",2.69,16.27,
78,한국타이어앤테크놀로지,"35,150","1,100",-3.03%,500,"43,542","123,875",41.29,"300,130",6.59,5.12,
79,일진머티리얼즈,"91,200","3,900",-4.10%,500,"42,053","46,111",12.90,"354,540",66.18,7.23,
80,메리츠증권,"6,100",40,-0.65%,"1,000","41,586","681,731",13.29,"927,345",6.19,13.08,
81,유한양행,"56,500","1,200",-2.08%,"1,000","41,376","73,231",17.31,"143,107",42.84,11.06,
82,오리온,"99,600",900,-0.90%,500,"39,378","39,536",37.17,"55,270",16.56,15.50,
83,쌍용C&E,"7,750",100,+1.31%,100,"39,049","503,860",3.28,"669,666",18.95,7.92,
84,현대중공업지주,"49,250",850,-1.70%,"1,000","38,904","78,993",16.61,"174,408",-11.42,-8.12,
85,두산밥캣,"38,400","1,800",-4.48%,500,"38,496","100,249",25.31,"213,185",10.51,6.15,
86,GS,"41,400",200,-0.48%,"5,000","38,467","92,915",19.14,"236,545",3.76,-2.82,
87,한진칼,"57,100",200,+0.35%,"2,500","38,108","66,739",14.65,"63,682",-65.03,-19.55,
88,삼성카드,"32,600",400,+1.24%,"5,000","37,770","115,859",7.23,"196,485",8.04,5.69,
89,삼성증권,"42,000",800,-1.87%,"5,000","37,506","89,300",29.95,"231,523",3.95,9.89,
90,이마트,"131,500","4,000",-2.95%,"5,000","36,657","27,876",33.92,"199,053",2.65,4.05,
91,아모레G,"44,100",100,+0.23%,500,"36,364","82,458",15.96,"159,739",24.76,0.31,
92,NH투자증권,"11,900",0,0.00%,"5,000","35,347","297,034",17.70,"427,047",4.37,10.32,
93,현대차2우B,"95,600","1,800",-1.85%,"5,000","34,880","36,485",63.02,"44,631",4.84,N/A,
94,한국항공우주,"35,350",100,-0.28%,"5,000","34,457","97,475",13.16,"801,709",240.48,6.39,
95,KCC,"375,500","2,000",+0.54%,"5,000","33,369","8,886",11.49,"68,413",4.74,12.79,
